-0.070367	-0.146520	0.153943	0.216293	0.094128	-0.073303	0.091911	0.348927	-0.141824	0.002527	0.123531	0.137323	-0.235408	-0.011179	0.240412	0.070686	0.223642	-0.303220	-0.335742	0.189826	0.012327	-0.123690	0.221230	0.102078	0.469643
-0.038731	-0.014502	-0.057893	-0.265025	-0.241681	-0.236606	0.027880	0.046749	-0.087792	0.047450	-0.258923	-0.107515	-0.164667	0.189863	-0.438710	-0.033833	0.137175	0.030724	-0.515221	0.291200	0.213036	0.168372	-0.086247	-0.102318	-0.018932
0.047761	0.042010	0.129047	-0.034760	-0.047139	-0.078333	-0.130951	0.011003	-0.055689	0.053802	-0.279594	0.070522	-0.193809	0.421421	-0.265314	0.041248	0.395438	0.243560	-0.473702	0.193546	0.282056	0.080270	-0.073053	-0.036506	0.076544
0.042294	-0.349799	0.028866	-0.253487	-0.053791	0.003521	-0.342611	0.185286	-0.021215	-0.494209	0.235848	-0.061901	0.049816	0.262941	0.069033	-0.217851	-0.056700	0.038922	-0.295055	0.039224	0.237690	0.239260	-0.118509	-0.008723	0.083438
0.140123	-0.048877	0.147302	-0.184896	0.018428	-0.300853	-0.239499	0.280297	-0.101448	-0.323796	0.149630	-0.274301	0.045482	0.259452	0.035691	-0.077131	0.199881	0.152457	-0.280674	-0.129906	0.291094	0.246653	-0.120328	-0.108038	0.274533
-0.278904	-0.325138	-0.101029	0.020366	0.078668	-0.036206	-0.002352	-0.316578	-0.255412	-0.074534	-0.109356	0.182815	-0.112866	0.184340	-0.246329	-0.052706	0.221908	-0.038273	-0.471958	-0.012398	0.332023	0.037412	-0.081289	0.232774	0.160519
-0.135655	-0.313082	-0.020003	-0.123285	-0.018098	-0.058739	-0.026002	-0.250490	-0.057826	-0.368292	0.199700	-0.115973	-0.014385	0.402486	0.207753	-0.032010	-0.014611	0.034453	-0.187395	-0.167368	0.338381	0.358754	-0.128989	0.028269	0.277317
0.018212	-0.346348	0.037703	-0.265202	-0.216067	0.198675	-0.262903	0.052472	-0.062331	-0.268548	0.005575	-0.197140	0.009764	0.056971	0.225652	-0.224086	0.049864	0.122524	-0.258798	-0.059688	0.150531	0.319827	-0.131011	0.325724	0.307100
0.429324	-0.210078	0.198973	-0.125777	-0.075754	0.119147	-0.287838	0.288479	0.131238	-0.299476	0.084533	-0.030184	-0.148120	0.207550	-0.072757	-0.159020	0.240048	0.020634	-0.346434	-0.027540	0.270200	0.189498	0.117522	0.043240	0.127073
0.189180	0.048624	0.123946	-0.230316	0.069171	0.082388	-0.290233	0.309230	-0.097418	-0.319080	0.137479	-0.090097	0.128224	0.192795	-0.089368	-0.049289	0.099042	-0.042625	-0.570637	0.001484	0.102921	0.280668	0.006165	0.132551	0.235437
0.424104	-0.191858	-0.003682	-0.305087	0.354398	0.062179	-0.018413	-0.071555	-0.087922	-0.204697	0.270367	-0.042974	0.165353	0.234516	0.068216	0.147627	0.054740	-0.334542	-0.261269	-0.064861	-0.000128	0.306941	-0.165711	0.095035	0.062135
-0.032313	-0.153606	0.176771	0.260927	0.288127	0.028962	-0.092051	0.346981	-0.244039	0.159322	0.098239	0.123254	-0.303385	0.208676	-0.028175	-0.117192	0.254230	-0.130557	-0.324396	0.330594	0.104888	0.106154	0.248027	-0.078715	0.131230
-0.213425	-0.005385	-0.139919	0.173911	-0.145242	-0.033300	0.189037	0.122079	-0.095618	0.138824	-0.006321	0.045894	-0.346636	0.118587	-0.250592	-0.206107	0.368460	-0.083442	-0.421038	0.352388	0.144860	-0.175746	-0.022382	-0.057738	0.248631
-0.031181	-0.072880	0.051213	-0.007372	0.085830	0.038240	0.066397	0.000731	-0.162666	0.157912	-0.002867	0.060351	-0.192533	0.174845	-0.214973	-0.198215	0.316198	0.181506	-0.623632	0.122008	0.336982	0.002854	-0.219453	-0.203272	0.172738
0.231213	-0.037122	0.266806	0.051759	-0.096458	-0.151604	-0.277915	0.253235	-0.062003	0.089155	-0.229926	0.009973	-0.196156	-0.042840	-0.141972	-0.085346	-0.032057	0.036615	-0.549736	0.372008	0.178533	0.231648	-0.153026	-0.108548	0.037860
0.018644	-0.095820	0.088822	-0.011601	-0.187569	-0.018145	-0.163644	0.040181	-0.032691	-0.344427	-0.132929	-0.119244	-0.027908	0.387159	-0.197712	-0.258444	0.060806	0.176008	-0.439945	-0.006099	0.460404	0.214064	-0.111655	0.005216	0.108839
-0.092282	-0.148752	-0.065823	-0.070317	-0.276129	0.194731	-0.385659	0.352697	0.077117	0.105402	-0.036283	-0.158322	-0.014768	0.214660	-0.278267	0.181822	0.333124	-0.165699	-0.354713	0.106556	0.063768	0.134932	-0.013426	0.254472	-0.098709
0.215463	-0.174275	0.009481	-0.093362	-0.111379	-0.115793	0.083029	0.278905	0.028253	-0.352347	0.079080	0.019424	-0.130506	-0.137456	0.404548	0.052594	-0.089895	-0.151741	-0.535582	-0.093644	-0.340460	-0.026986	0.021753	0.106587	0.121552
-0.208108	-0.365608	0.101124	0.005127	0.136779	0.137173	-0.002983	-0.252508	-0.084513	-0.229407	0.030573	0.131942	-0.192816	0.231184	-0.027702	-0.178115	0.241669	0.415023	-0.309526	-0.207072	0.133843	-0.163005	-0.013386	0.281123	0.131224
