0.640180	-0.099574	0.552182	-0.044104	0.243158	-0.023276	0.094600	-0.007844	-0.047461	0.032073	-0.040132	-0.036305	-0.023023	0.074899	0.004843	0.016921	0.030088	-0.002042	-0.126589	0.086553	0.122556	-0.035504	0.013904	-0.004938	-0.027404	-0.029612	0.004487	0.000849	-0.025082	-0.059968	0.083480	0.069866	0.092349	-0.084202	-0.016981	0.031673	-0.020238	0.016292	-0.024498	-0.150404	-0.103265	-0.007733	-0.086738	0.080901	0.034907	0.065266	-0.045245	-0.169475	-0.010011	0.177406
0.499500	0.207387	-0.154952	-0.196744	0.132951	0.199618	0.211547	-0.074290	0.049123	0.072045	0.053775	-0.085647	0.316877	-0.064644	0.058760	0.094504	0.041229	-0.019498	0.007103	-0.115355	0.017357	-0.048029	0.181193	-0.001575	-0.117102	-0.074879	0.136340	-0.049776	0.054021	-0.031150	-0.187069	-0.024481	0.220178	-0.029299	0.386012	-0.042377	0.083473	-0.069680	0.040876	0.024412	-0.114005	-0.007086	0.035878	0.013344	0.097561	-0.011249	-0.001521	-0.044063	-0.141217	-0.105618
0.617524	0.283519	-0.067426	-0.194250	0.243409	-0.139769	0.053492	-0.066409	-0.135543	-0.200563	-0.101337	0.022717	0.134467	0.086124	0.056519	0.089491	-0.008822	0.005978	-0.021303	-0.021802	-0.101702	-0.018402	-0.177126	0.065044	-0.098896	-0.020739	-0.178205	0.050070	0.027088	-0.119441	-0.019431	-0.191917	0.069329	-0.020854	-0.089304	0.003935	0.033609	0.042413	-0.189943	0.006091	0.110904	0.019676	0.141140	0.084769	0.125015	-0.141817	0.153524	0.023874	0.046360	-0.075840
0.797158	-0.128318	-0.107449	-0.269488	-0.040804	0.019376	0.073419	0.056299	-0.108857	-0.023841	-0.094200	-0.173368	-0.074193	0.236527	-0.104505	-0.131236	-0.017366	-0.114115	0.010559	-0.017190	0.012278	0.022040	-0.123575	-0.011509	0.069173	0.063071	0.013905	-0.036377	0.023786	0.037635	0.127251	-0.003802	0.040031	-0.022469	0.018982	-0.083931	-0.014914	0.001478	0.090097	0.023075	-0.047021	0.079158	0.082965	0.006201	-0.070974	-0.002269	0.014329	-0.088708	-0.032665	-0.078444
0.754382	-0.039675	-0.173967	-0.384338	0.093924	0.019985	0.149089	0.120179	0.004283	-0.085261	-0.122916	-0.069935	0.011389	0.068017	-0.037937	-0.051440	0.013929	-0.065287	-0.038398	0.031881	-0.010385	-0.066649	0.007190	-0.021878	-0.147442	0.156759	0.019121	-0.065899	0.101678	-0.072767	-0.059488	-0.152914	-0.054870	0.020976	0.061035	0.055047	0.049319	-0.030262	-0.043252	0.037404	0.085744	-0.078645	0.118416	-0.019139	-0.009463	-0.070783	0.017774	0.038606	0.008564	-0.109552
0.796124	-0.059320	-0.159388	0.179957	-0.019534	-0.127407	0.016678	-0.114704	0.063251	-0.071692	-0.015348	-0.112108	-0.069239	0.112420	-0.053759	-0.078780	-0.015033	-0.058023	-0.132087	-0.076993	0.067055	0.033114	0.058602	-0.134369	-0.074038	0.038345	0.101669	0.131402	-0.009740	-0.113753	0.042287	0.041448	-0.033393	0.077172	-0.081204	0.032016	-0.010831	0.051946	0.052530	0.020723	0.010421	0.007908	0.216594	0.017231	-0.101863	-0.106412	0.073255	-0.076579	-0.102712	-0.098267
0.708204	-0.156537	-0.250436	-0.088121	-0.209155	-0.103372	0.245170	0.142425	0.063127	-0.159483	0.009119	0.144378	-0.005145	0.151178	0.086516	-0.109515	0.008344	0.094711	-0.146490	0.099971	0.069215	-0.003274	0.052441	-0.165027	-0.082036	0.004537	0.002530	-0.029105	-0.011869	0.012791	0.085579	-0.058710	0.059805	0.050090	-0.037256	0.030830	-0.008029	0.046572	-0.014980	0.164020	0.036029	0.008160	0.132586	0.002873	-0.100609	0.039260	0.024926	0.061281	-0.094700	0.014987
0.739473	-0.118451	-0.147018	-0.177513	-0.098225	-0.007548	0.099796	0.190956	-0.035459	-0.032814	-0.175860	-0.033428	-0.014398	-0.010394	0.222115	-0.090462	0.069908	-0.095373	-0.107028	0.089210	-0.066942	-0.022496	-0.055019	-0.072810	-0.058479	-0.090994	-0.071794	-0.073234	0.150886	0.118063	0.150272	0.028950	0.175600	0.106037	0.012924	0.041185	0.052170	0.040285	-0.136760	-0.067289	0.032833	-0.072401	-0.072530	-0.044502	0.082944	0.000945	0.038972	0.041896	-0.097775	-0.061925
0.766984	-0.151294	-0.182611	-0.315713	0.002861	0.057896	0.208811	0.051334	0.024312	-0.158831	-0.053023	0.089375	0.066308	0.198763	-0.025210	0.073226	0.029821	-0.138905	-0.079070	-0.014971	0.041091	-0.081446	0.042488	0.103040	-0.046942	0.073248	-0.015484	-0.021782	-0.012555	0.056104	-0.024270	-0.048795	-0.037980	-0.057148	-0.092846	0.041389	-0.033249	-0.064916	0.033192	-0.031663	0.093007	-0.058485	0.091651	0.036078	0.032018	0.043770	-0.067585	-0.049672	-0.056803	-0.017472
0.785791	-0.170022	-0.066848	-0.300742	-0.105981	0.049758	0.092888	0.105636	-0.082274	-0.011562	-0.168228	-0.053876	0.035294	0.065515	-0.000978	0.119414	0.004581	-0.077068	-0.074063	-0.007502	-0.118720	0.099058	-0.140028	0.025916	-0.088812	0.162267	0.057596	-0.019297	-0.019724	-0.065266	-0.075586	-0.077769	-0.073032	0.025498	0.079619	0.019005	-0.057408	-0.054372	-0.001477	0.051945	0.105997	0.069923	0.046112	-0.012586	-0.014441	-0.081357	-0.080593	0.026368	-0.025445	-0.050934
0.789819	-0.230859	-0.143323	-0.056747	-0.048468	-0.168743	0.138917	-0.027214	0.046460	-0.042805	-0.009648	-0.111414	0.010649	0.272769	0.034201	0.153605	0.085375	0.026289	-0.093478	-0.019355	-0.099145	-0.028157	-0.049670	-0.016725	-0.101780	0.058814	0.011667	0.045153	0.015173	-0.050303	-0.161403	-0.021996	-0.042595	0.022597	-0.001445	0.022297	-0.055131	0.116794	0.015704	-0.006941	-0.005177	0.076727	0.003166	-0.054187	0.131683	-0.042133	0.040590	-0.080639	-0.000173	-0.028512
0.658634	-0.089631	0.561339	0.072855	0.281194	0.019305	0.239952	-0.016490	0.042879	-0.023309	-0.056250	-0.045428	-0.040424	0.145988	-0.003299	-0.073515	-0.004749	0.017995	-0.017814	0.049004	0.023411	-0.029043	-0.058037	-0.043892	-0.013331	-0.115772	-0.011504	0.061052	-0.055779	-0.055828	0.001578	-0.018778	0.043415	0.031521	0.011057	-0.011977	-0.011120	0.016670	0.006606	-0.022568	0.086499	-0.053207	0.010214	-0.025158	0.042598	-0.019106	0.015521	0.086951	-0.002501	-0.074725
0.711415	0.047900	0.153027	0.135811	0.091673	0.077667	0.206192	-0.231151	-0.073475	0.019021	-0.131876	-0.146735	-0.105163	0.109442	0.101511	0.066749	-0.220111	0.028241	0.044248	0.068758	0.073452	-0.055806	-0.242169	0.049211	-0.087743	-0.129086	0.006748	0.083649	-0.015563	0.022613	-0.010657	0.057294	0.055688	-0.042617	-0.056125	0.014082	-0.069868	0.024511	0.084997	0.155004	0.090304	-0.059673	0.100550	0.019260	0.036974	0.053160	-0.041024	0.034995	-0.129356	0.069127
0.769175	-0.027726	0.190301	0.012316	0.270442	0.152311	0.281095	-0.282382	0.050896	-0.107190	-0.086138	-0.075849	0.057922	-0.066274	0.040294	0.013318	0.026036	0.055333	0.077282	-0.050998	-0.045482	0.034932	0.101945	-0.028517	-0.067427	-0.098387	0.008772	0.075874	0.042341	0.056900	-0.002470	-0.002796	0.039431	0.030370	0.056970	0.056532	0.045226	-0.014629	0.014506	-0.026325	0.022154	-0.034081	0.021287	-0.044669	-0.010789	-0.030598	-0.049835	0.008201	0.087096	0.007618
0.728664	0.073390	-0.077029	-0.027863	0.201599	0.046950	0.172425	-0.168661	0.018734	-0.064124	-0.024053	-0.149281	-0.080169	-0.065084	-0.014861	-0.150999	-0.012105	0.070667	0.077247	0.007786	-0.145534	-0.078028	0.163520	0.135929	0.119026	-0.066199	-0.159528	0.030195	0.034594	0.074448	0.022681	0.067898	0.042649	-0.068093	-0.063932	0.107609	-0.074211	0.062175	0.107439	0.068583	0.023726	-0.038760	0.214766	0.115866	-0.010345	0.003305	-0.023893	-0.034507	0.205987	-0.028732
0.610087	-0.197900	-0.276893	-0.342656	0.249743	0.062662	0.316810	-0.137691	-0.101848	-0.029378	-0.232480	-0.138012	0.176656	-0.128182	-0.010640	-0.056431	0.127125	-0.051331	-0.063515	0.019868	-0.026003	-0.009388	-0.054632	0.033554	-0.005423	-0.020677	0.042670	0.049380	-0.011201	0.030637	0.107100	-0.059086	-0.090338	0.015456	-0.042658	0.054822	-0.052520	0.030344	0.031215	-0.009205	0.002751	-0.015492	-0.032554	0.052039	-0.008998	-0.032494	-0.000481	0.039831	0.000628	-0.010529
0.567376	0.368835	-0.056249	-0.375758	-0.141422	0.079512	0.075958	0.139001	0.054681	0.171545	0.101833	-0.032992	0.178515	0.247847	0.148847	-0.008284	0.024836	0.007852	-0.063814	0.038107	0.046695	-0.096562	0.054485	-0.171794	0.096417	0.123453	-0.011176	0.082327	0.108817	-0.074306	-0.011269	-0.035307	-0.058613	-0.011300	-0.081100	0.095299	0.009486	0.142557	0.060385	0.041458	-0.000553	0.100305	-0.018088	-0.029931	0.054978	0.128742	-0.040906	-0.037751	-0.069299	0.052260
